Date,Open,High,Low,Close,Adj Close,Volume
1980-12-08,0.128348,0.128906,0.128348,0.128348,0.099058,469033600
1980-12-15,0.122210,0.126674,0.112723,0.126116,0.097335,490134400
1980-12-22,0.132254,0.159040,0.132254,0.158482,0.122315,187891200
1980-12-29,0.160714,0.161272,0.152344,0.154018,0.118870,219452800
1981-01-05,0.151228,0.151228,0.135045,0.142299,0.109825,197904000
1981-01-12,0.142299,0.142299,0.136161,0.138393,0.106810,88502400
1981-01-19,0.146763,0.147879,0.142299,0.146205,0.112840,134332800
1981-01-26,0.144531,0.144531,0.126116,0.126116,0.097335,166588800
1981-02-02,0.119420,0.128906,0.118862,0.128348,0.099058,92579200
1981-02-09,0.122768,0.122768,0.113839,0.113839,0.087860,74659200
1981-02-16,0.116629,0.122768,0.108259,0.108259,0.083553,78198400
1981-02-23,0.109933,0.119420,0.106027,0.118304,0.091306,76182400
1981-03-02,0.118862,0.119420,0.114397,0.114397,0.088290,58620800
1981-03-09,0.106027,0.106027,0.096540,0.099330,0.076662,364112000
1981-03-16,0.103237,0.116071,0.103237,0.114955,0.088721,170329600
1981-03-23,0.119420,0.120536,0.110491,0.110491,0.085276,81760000
1981-03-30,0.110491,0.118862,0.108259,0.118304,0.091306,107856000
1981-04-06,0.116629,0.125000,0.114955,0.124442,0.096043,101404800
1981-04-13,0.124442,0.125000,0.111607,0.111607,0.086137,80640000
1981-04-20,0.114955,0.131138,0.114955,0.129464,0.099919,175952000
1981-04-27,0.128906,0.128906,0.124442,0.126674,0.097766,113523200
1981-05-04,0.126674,0.126674,0.122210,0.125000,0.096474,68208000
1981-05-11,0.122768,0.124442,0.119978,0.122768,0.094751,30934400
1981-05-18,0.125000,0.141183,0.122768,0.140067,0.108102,106512000
1981-05-25,0.140067,0.148438,0.139509,0.147879,0.114131,368211200
1981-06-01,0.147879,0.148438,0.140625,0.141183,0.108964,244876800
1981-06-08,0.136719,0.147321,0.136161,0.145089,0.111978,303094400
1981-06-15,0.145089,0.145089,0.135045,0.135045,0.104226,259145600
1981-06-22,0.130580,0.133371,0.128906,0.130022,0.100350,96947200
1981-06-29,0.126674,0.126674,0.114955,0.114955,0.088721,247251200
1981-07-06,0.112165,0.117188,0.099330,0.099330,0.076662,137043200
1981-07-13,0.101563,0.116071,0.101563,0.115513,0.089152,111529600
1981-07-20,0.108259,0.108259,0.101004,0.107143,0.082692,141568000
1981-07-27,0.111607,0.112165,0.106027,0.111607,0.086137,76540800
1981-08-03,0.111607,0.116071,0.110491,0.112723,0.086999,81334400
1981-08-10,0.112723,0.112723,0.102121,0.102121,0.078816,149408000
1981-08-17,0.099888,0.099888,0.089844,0.089844,0.069341,115606400
1981-08-24,0.084821,0.090402,0.084263,0.089844,0.069341,161324800
1981-08-31,0.089844,0.097656,0.089844,0.090960,0.070202,150080000
1981-09-07,0.088728,0.089286,0.087612,0.087612,0.067618,108326400
1981-09-14,0.085379,0.085379,0.078683,0.079241,0.061157,112246400
1981-09-21,0.079799,0.080357,0.063616,0.063616,0.049098,177564800
1981-09-28,0.064174,0.074219,0.064174,0.073661,0.056851,342585600
1981-10-05,0.075893,0.084263,0.075335,0.083147,0.064172,195910400
1981-10-12,0.085938,0.087054,0.080915,0.081473,0.062880,168425600
1981-10-19,0.083147,0.088170,0.083147,0.084821,0.065464,193401600
1981-10-26,0.084821,0.089844,0.084821,0.089286,0.068910,240262400
1981-11-02,0.089286,0.089844,0.079799,0.080357,0.062019,137065600
1981-11-09,0.081473,0.087612,0.080915,0.080915,0.062449,125507200
1981-11-16,0.080357,0.085379,0.079799,0.084821,0.065464,165222400
1981-11-23,0.082031,0.084821,0.080357,0.084263,0.065033,134915200
1981-11-30,0.083705,0.085379,0.082589,0.084821,0.065464,242502400
1981-12-07,0.085379,0.085938,0.083705,0.083705,0.064603,257689600
1981-12-14,0.082031,0.102679,0.080915,0.102121,0.078816,245190400
1981-12-21,0.098214,0.099888,0.097098,0.097656,0.075370,168044800
1981-12-28,0.094308,0.099330,0.093192,0.098772,0.076231,147660800
1982-01-04,0.098772,0.098772,0.084821,0.088728,0.068479,299824000
1982-01-11,0.083705,0.090402,0.079799,0.089286,0.068910,207424000
1982-01-18,0.090960,0.093192,0.088728,0.092634,0.071494,166924800
1982-01-25,0.090402,0.091518,0.086496,0.090960,0.070202,190041600
1982-02-01,0.090960,0.091518,0.088170,0.088170,0.068049,186614400
1982-02-08,0.083147,0.084263,0.082589,0.083705,0.064603,172569600
1982-02-15,0.082589,0.084821,0.082031,0.083705,0.064603,101875200
1982-02-22,0.083147,0.083147,0.081473,0.081473,0.062880,147347200
1982-03-01,0.082031,0.082589,0.074219,0.074219,0.057281,177452800
1982-03-08,0.073661,0.074219,0.068080,0.068080,0.052543,243712000
1982-03-15,0.068080,0.074777,0.063058,0.074219,0.057281,271152000
1982-03-22,0.079799,0.080357,0.072545,0.072545,0.055990,311651200
1982-03-29,0.074219,0.079799,0.074219,0.079241,0.061157,339651200
1982-04-05,0.079241,0.079799,0.077567,0.078125,0.060296,211321600
1982-04-12,0.078125,0.078683,0.071429,0.075335,0.058143,511526400
1982-04-19,0.074777,0.074777,0.068638,0.068638,0.052974,295747200
1982-04-26,0.070313,0.070871,0.065290,0.065848,0.050821,587059200
1982-05-03,0.068080,0.073103,0.068080,0.072545,0.055990,370809600
1982-05-10,0.071987,0.071987,0.065290,0.065290,0.050390,355824000
1982-05-17,0.064732,0.064732,0.062500,0.063616,0.049098,339987200
1982-05-24,0.064174,0.064732,0.062500,0.062500,0.048237,177273600
1982-05-31,0.061942,0.063058,0.058594,0.058594,0.045222,157942400
1982-06-07,0.058594,0.060268,0.056920,0.059710,0.046084,191452800
1982-06-14,0.059710,0.060268,0.057478,0.057478,0.044361,155971200
1982-06-21,0.057478,0.062500,0.057478,0.059152,0.045653,169680000
1982-06-28,0.059152,0.059152,0.053571,0.053571,0.041346,242435200
1982-07-05,0.051897,0.051897,0.049107,0.050781,0.039192,410816000
1982-07-12,0.051897,0.059710,0.051897,0.059152,0.045653,391686400
1982-07-19,0.059710,0.064732,0.059710,0.063058,0.048668,258697600
1982-07-26,0.060826,0.060826,0.057478,0.060268,0.046514,243174400
1982-08-02,0.061942,0.062500,0.054688,0.054688,0.042208,434716800
1982-08-09,0.055246,0.059710,0.055246,0.058594,0.045222,294828800
1982-08-16,0.059710,0.066406,0.059710,0.065848,0.050821,313689600
1982-08-23,0.068638,0.079799,0.068638,0.075335,0.058143,891766400
1982-08-30,0.076451,0.082589,0.076451,0.082031,0.063311,483526400
1982-09-06,0.078125,0.081473,0.077567,0.080915,0.062449,273369600
1982-09-13,0.081473,0.084821,0.079241,0.079241,0.061157,366553600
1982-09-20,0.079799,0.084263,0.079799,0.080915,0.062449,497190400
1982-09-27,0.080915,0.083705,0.080915,0.082589,0.063741,310172800
1982-10-04,0.082589,0.105469,0.080357,0.104911,0.080969,910313600
1982-10-11,0.104911,0.110491,0.101004,0.102679,0.079247,1094800000
1982-10-18,0.102679,0.119420,0.102679,0.115513,0.089152,848489600
1982-10-25,0.115513,0.116071,0.103795,0.113281,0.087429,879648000
1982-11-01,0.113281,0.142299,0.112165,0.134487,0.103796,1120918400
1982-11-08,0.134487,0.151786,0.128348,0.144531,0.111548,756022400
1982-11-15,0.144531,0.146205,0.133371,0.137835,0.106380,700739200
1982-11-22,0.137835,0.137835,0.125558,0.129464,0.099919,365478400
1982-11-29,0.129464,0.150670,0.125000,0.141741,0.109394,628297600
1982-12-06,0.141741,0.155692,0.128906,0.130580,0.100780,788323200
1982-12-13,0.129464,0.135603,0.123326,0.134487,0.103796,718121600
1982-12-20,0.134487,0.142857,0.131696,0.142857,0.110256,337926400
1982-12-27,0.142857,0.150670,0.132254,0.133371,0.102934,462470400
1983-01-03,0.133371,0.136161,0.122768,0.122768,0.094751,747936000
1983-01-10,0.122768,0.147321,0.121652,0.147321,0.113701,720630400
1983-01-17,0.147321,0.174107,0.145089,0.166853,0.128776,1734745600
1983-01-24,0.166853,0.187500,0.154576,0.183036,0.141265,1187715200
1983-01-31,0.183036,0.202567,0.179129,0.196429,0.151602,1132902400
1983-02-07,0.196429,0.210938,0.181920,0.207589,0.160215,932108800
1983-02-14,0.207589,0.208147,0.190290,0.202567,0.156339,608988800
1983-02-21,0.203683,0.217076,0.203683,0.208705,0.161076,535001600
1983-02-28,0.208705,0.210938,0.193080,0.199219,0.153755,661852800
1983-03-07,0.199219,0.199777,0.184710,0.189174,0.146003,773024000
1983-03-14,0.188616,0.194196,0.179129,0.191964,0.148156,488185600
1983-03-21,0.191964,0.201451,0.188616,0.192522,0.148587,506307200
1983-03-28,0.191964,0.198661,0.186384,0.188616,0.145572,351254400
1983-04-04,0.188616,0.188616,0.172433,0.175781,0.135666,759248000
1983-04-11,0.175781,0.205915,0.172991,0.204241,0.157631,845667200
1983-04-18,0.205357,0.235491,0.205357,0.227679,0.175720,1035014400
1983-04-25,0.227679,0.229353,0.215960,0.225446,0.173997,698902400
1983-05-02,0.225446,0.248884,0.212612,0.246094,0.189933,572835200
1983-05-09,0.246094,0.247210,0.233817,0.237165,0.183042,323724800
1983-05-16,0.237165,0.254464,0.228237,0.253906,0.195962,596937600
1983-05-23,0.253906,0.272321,0.248884,0.265067,0.204576,545372800
1983-05-30,0.264509,0.275112,0.252790,0.273996,0.211467,287593600
1983-06-06,0.273996,0.282366,0.260603,0.264509,0.204145,378537600
1983-06-13,0.264509,0.265067,0.237723,0.250558,0.193378,722086400
1983-06-20,0.250558,0.252232,0.233817,0.237723,0.183472,587641600
1983-06-27,0.237723,0.237723,0.204241,0.219866,0.169690,1049417600
1983-07-04,0.219866,0.220424,0.205357,0.206473,0.159354,337590400
1983-07-11,0.206473,0.215402,0.196987,0.198103,0.152894,459984000
1983-07-18,0.198103,0.207031,0.181920,0.195313,0.150741,991468800
1983-07-25,0.195313,0.195313,0.151228,0.155692,0.120162,1136531200
1983-08-01,0.155692,0.162388,0.141741,0.151228,0.116716,881462400
1983-08-08,0.151228,0.155692,0.147879,0.149554,0.115424,553974400
1983-08-15,0.149554,0.155134,0.146205,0.150670,0.116286,478419200
1983-08-22,0.150670,0.152344,0.133929,0.137835,0.106380,575209600
1983-08-29,0.137835,0.171875,0.133929,0.169643,0.130929,919945600
